Timestamp,Ping (ms),Download (Mbps),Upload (Mbps),Status
2025-09-21 14:32:33,23.80,58.88,59.56,Connected
2025-09-21 14:32:54,23.80,57.67,55.16,Connected
2025-09-21 14:33:15,23.80,62.03,56.88,Connected
2025-09-21 14:33:36,23.80,55.93,58.74,Connected
2025-09-21 14:33:58,23.80,55.75,58.30,Connected
2025-09-21 14:34:19,23.80,54.07,62.48,Connected
2025-09-21 14:34:41,23.80,58.78,61.36,Connected
2025-09-21 14:35:01,23.80,61.30,56.61,Connected
2025-09-21 14:35:21,23.80,52.90,62.44,Connected
2025-09-21 14:35:42,23.80,60.75,59.69,Connected
2025-09-21 14:36:02,23.80,65.40,61.61,Connected
2025-09-21 14:36:23,23.80,62.38,59.40,Connected
2025-09-21 14:36:43,23.80,55.69,61.81,Connected
2025-09-21 14:37:03,23.80,59.83,58.97,Connected
2025-09-21 14:37:24,23.80,59.81,60.79,Connected
2025-09-21 14:37:44,23.80,55.94,62.43,Connected
2025-09-21 14:38:05,23.80,63.29,60.14,Connected
2025-09-21 14:38:25,23.80,60.31,59.35,Connected
2025-09-21 14:38:46,23.80,60.89,60.03,Connected
2025-09-21 14:39:06,23.80,55.36,58.66,Connected
2025-09-21 14:39:27,23.80,57.83,58.42,Connected
2025-09-21 14:39:47,23.80,58.83,60.78,Connected
2025-09-21 14:40:08,23.80,59.24,61.16,Connected
2025-09-21 14:40:29,23.80,62.82,62.34,Connected
2025-09-21 14:40:49,23.80,62.86,65.49,Connected
2025-09-21 14:41:10,23.80,61.53,62.96,Connected
2025-09-21 14:41:30,23.80,60.67,61.57,Connected
2025-09-21 14:41:50,23.80,57.05,64.10,Connected
2025-09-21 14:42:11,23.80,60.74,59.06,Connected
2025-09-21 14:42:32,23.80,61.33,59.07,Connected
